Date,Open,High,Low,Close,Adj Close,Volume
2018-07-01,170.039993,182.929993,169.669998,176.449997,173.208893,708010500
2018-08-01,176.860001,187.520004,175.789993,186.649994,183.221542,667523000
2018-09-01,186.080002,186.490005,180.440002,185.789993,182.377335,645534400
2018-10-01,186.869995,187.529999,160.089996,169.820007,167.000687,1817070600
2018-11-01,170.070007,175.580002,157.130005,169.369995,166.558136,1152121500
2018-12-01,173.110001,173.309998,143.460007,154.259995,151.699005,1395544900
2019-01-01,150.990005,168.990005,149.490005,168.160004,165.841370,933706500
2019-02-01,167.330002,174.660004,166.570007,173.190002,170.802002,535964100
2019-03-01,174.440002,182.830002,169.339996,179.660004,177.182785,781972700
2019-04-01,181.509995,191.320007,180.770004,189.539993,187.266754,550157700
2019-05-01,190.779999,191.320007,173.869995,173.949997,171.863724,901554000
2019-06-01,173.479996,189.770004,169.270004,186.740005,184.500336,688730400
2019-07-01,190.320007,195.550003,188.380005,191.100006,189.225510,494025500
2019-08-01,191.429993,194.979996,179.199997,187.470001,185.631104,814286500
2019-09-01,186.220001,194.710007,185.029999,188.809998,186.957947,550650200
2019-10-01,189.500000,197.830002,181.820007,197.080002,195.540359,576983400
2019-11-01,197.929993,206.050003,197.630005,205.100006,203.497711,351429700
2019-12-01,205.110001,214.559998,199.229996,212.610001,210.949036,429951100
2020-01-01,214.399994,225.880005,212.240005,219.070007,217.829834,585331700
2020-02-01,220.139999,237.470001,198.169998,205.800003,204.634949,953525400
2020-03-01,208.880005,219.610001,164.929993,190.399994,189.322113,2191775700
2020-04-01,184.770004,220.039993,180.860001,218.910004,218.134598,1091909700
2020-05-01,214.500000,233.600006,211.119995,233.360001,232.533417,847090400
2020-06-01,232.460007,251.149994,231.470001,247.600006,246.722977,928360400
2020-07-01,247.639999,269.790009,247.080002,265.790009,265.309113,925204200
2020-08-01,268.000000,296.750000,264.630005,294.880005,294.346466,701609300
2020-09-01,297.619995,303.500000,260.109985,277.839996,277.337311,1325207600
2020-10-01,281.790009,297.459991,267.070007,269.380005,268.892609,937058600
2020-11-01,271.850006,300.170013,266.970001,299.619995,299.077881,751645800
2020-12-01,301.970001,314.690002,298.089996,313.739990,313.172333,570073400
2021-01-01,315.109985,330.320007,305.179993,314.559998,314.559998,655477200
2021-02-01,318.109985,338.190002,311.000000,312.829987,312.829987,688820900
2021-02-26,315.850006,319.109985,310.880005,314.140015,314.140015,99463424
